"series","subject","block","n_reps","mean","ci_lower","ci_upper","block_start_day","scenario"
"mean_queue","R2E operating theatres",9,30,459.093285817826,405.652900457367,512.533671178286,241,"high_intensity"
"mean_queue","R2E operating theatres",10,30,506.713043088714,450.688952542608,562.737133634819,271,"high_intensity"
"mean_queue","R2E operating theatres",11,30,555.776690888062,501.529163963619,610.024217812505,301,"high_intensity"
"mean_queue","R2E operating theatres",12,30,605.88868654254,550.073194260029,661.70417882505,331,"high_intensity"
"occupancy","R2B holding beds",1,30,0.845761949356797,0.835332602051667,0.856191296661927,1,"high_intensity"
"occupancy","R2B holding beds",2,30,0.875254617708242,0.867815331901677,0.882693903514806,31,"high_intensity"
"occupancy","R2B holding beds",3,30,0.878954816439424,0.872227309065451,0.885682323813398,61,"high_intensity"
"occupancy","R2B holding beds",4,30,0.8816080456691,0.874986256013878,0.888229835324322,91,"high_intensity"
"occupancy","R2B holding beds",5,30,0.880366482459694,0.873169579053291,0.887563385866097,121,"high_intensity"
"occupancy","R2B holding beds",6,30,0.8796026723671,0.872058290776351,0.887147053957849,151,"high_intensity"
"occupancy","R2B holding beds",7,30,0.873624622459212,0.866684269823911,0.880564975094513,181,"high_intensity"
"occupancy","R2B holding beds",8,30,0.884741507628129,0.877773585801622,0.891709429454637,211,"high_intensity"
"occupancy","R2B holding beds",9,30,0.876781746277798,0.868528434969871,0.885035057585725,241,"high_intensity"
"occupancy","R2B holding beds",10,30,0.880886347488207,0.873772138668558,0.888000556307857,271,"high_intensity"
"occupancy","R2B holding beds",11,30,0.881742823787836,0.875535290463512,0.887950357112161,301,"high_intensity"
"occupancy","R2B holding beds",12,30,0.881830632612065,0.875033398550461,0.88862786667367,331,"high_intensity"
"occupancy","R2B operating theatres",1,30,0.159991406688044,0.153347672070569,0.166635141305518,1,"high_intensity"
"occupancy","R2B operating theatres",2,30,0.170464106450485,0.164499783038482,0.176428429862488,31,"high_intensity"
"occupancy","R2B operating theatres",3,30,0.171451356114303,0.162575263857732,0.180327448370873,61,"high_intensity"
"occupancy","R2B operating theatres",4,30,0.170755111370913,0.164454107094194,0.177056115647633,91,"high_intensity"
"occupancy","R2B operating theatres",5,30,0.165024064604067,0.158349299055419,0.171698830152714,121,"high_intensity"
"occupancy","R2B operating theatres",6,30,0.165905020847387,0.158223942829207,0.173586098865567,151,"high_intensity"
"occupancy","R2B operating theatres",7,30,0.170574964696846,0.163103367684139,0.178046561709553,181,"high_intensity"
