"pool","replication","zero_share","longest_busy_days","intensity"
"R2B holding beds",28,0.050233964692814,28.4929810592156,"High intensity"
"R2B holding beds",29,0.0751118939756523,27.7466431807304,"High intensity"
"R2B holding beds",30,0.0909345455589631,27.2719636332311,"High intensity"
"R2B holding beds",31,0.0678539425224191,27.9643817243274,"High intensity"
"R2B holding beds",32,0.0646755471774448,28.0597335846767,"High intensity"
"R2B holding beds",33,0.0645756899820454,28.0627293005386,"High intensity"
"R2B holding beds",34,0.137186267730663,10.533068144986,"High intensity"
"R2B holding beds",35,0.141097692247831,25.7670692325651,"High intensity"
"R2B holding beds",36,0.0256282390316859,29.2311528290494,"High intensity"
"R2B holding beds",37,0.111792051897065,26.646238443088,"High intensity"
"R2B holding beds",38,0.0473287705747331,28.580136882758,"High intensity"
"R2B holding beds",39,0.0664988498741984,28.005034503774,"High intensity"
"R2B holding beds",40,0.0664376109094324,28.006871672717,"High intensity"
"R2B holding beds",41,0.0397600433310354,28.8071987000689,"High intensity"
"R2B holding beds",42,0.0915276519335818,27.2541704419925,"High intensity"
"R2B holding beds",43,0.0128488669053082,29.6145339928408,"High intensity"
"R2B holding beds",44,0.13723557927916,25.8829326216252,"High intensity"
"R2B holding beds",45,0.0618332702287471,28.1450018931376,"High intensity"
"R2B holding beds",46,0.0724889204182989,27.825332387451,"High intensity"
"R2B holding beds",47,0.0585584477388694,28.2432465678339,"High intensity"
"R2B holding beds",48,0.0374132504704729,28.8776024858858,"High intensity"
"R2B holding beds",49,0.0566731848115908,28.2998044556523,"High intensity"
"R2B holding beds",50,0.0406960431012182,28.7791187069635,"High intensity"
"R2E operating theatres",1,0.0388353863617345,28.7989572880133,"High intensity"
"R2E operating theatres",2,0.0266526453721177,29.2004206388365,"High intensity"
"R2E operating theatres",3,0.119868325925649,23.3051877539237,"High intensity"
"R2E operating theatres",4,0.107297260518826,26.3963266489186,"High intensity"
"R2E operating theatres",5,0.00596687945981475,29.8209936162056,"High intensity"
"R2E operating theatres",6,0.0758396657445313,27.7248100276641,"High intensity"
"R2E operating theatres",7,0.0202201787396348,29.393394637811,"High intensity"
"R2E operating theatres",8,0.251438543501009,21.6651536561842,"High intensity"
"R2E operating theatres",9,0.164105065057182,22.0132222588494,"High intensity"
"R2E operating theatres",10,0.15370978993068,25.1128578425144,"High intensity"
"R2E operating theatres",11,0.0735833614345248,27.4852120194284,"High intensity"
"R2E operating theatres",12,0.0531504475400514,28.3373260080885,"High intensity"
"R2E operating theatres",13,0.0686593078655906,24.9401986137338,"High intensity"
"R2E operating theatres",14,0.0639897888862793,21.9036230986529,"High intensity"
"R2E operating theatres",15,0.101908687322054,25.5216007225414,"High intensity"
"R2E operating theatres",16,0.053636913489856,28.3908925953043,"High intensity"
"R2E operating theatres",17,0.090868002323678,23.0184799775204,"High intensity"
"R2E operating theatres",18,0.0249648503751774,29.2309455380834,"High intensity"
"R2E operating theatres",19,0.0397047815862809,28.7541655233751,"High intensity"
"R2E operating theatres",20,0.0446730649725937,26.2090358204204,"High intensity"
"R2E operating theatres",21,0.0274561461573228,23.6732245953614,"High intensity"
"R2E operating theatres",22,0.134925039644226,23.8927627372765,"High intensity"
"R2E operating theatres",23,0.020900043872345,29.1462154315106,"High intensity"
"R2E operating theatres",24,0.0179138411091616,29.3894135476941,"High intensity"
"R2E operating theatres",25,0.17777307601189,17.4397449865654,"High intensity"
"R2E operating theatres",26,0.0600507698846622,28.0829806951158,"High intensity"
"R2E operating theatres",27,0.012320495742474,29.5424671508107,"High intensity"
"R2E operating theatres",28,0.0274452819222699,28.9513473785139,"High intensity"
"R2E operating theatres",29,0.0760772305974955,27.7176830820751,"High intensity"
"R2E operating theatres",30,0.185963122149252,23.0644185415262,"High intensity"
"R2E operating theatres",31,0.121064940878192,23.6236689998519,"High intensity"
"R2E operating theatres",32,0.0263982668024935,29.1949693623731,"High intensity"
